time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	29.212827960748466,	2.6224899177538314,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	29.212827960748466,	2.6224899177538314,	0.015007033443855749,	0.052523807068485924,	0.20604098193735254,	0.23564334280566254,	400
31557600.0,	29.212827960748466,	2.6224899177538314,	0.015017706382730053,	0.056157172776112256,	0.2218727321259764,	0.2761573968510651,	400
47336400.0,	29.212827960748466,	2.6224899177538314,	0.015034148393686995,	0.06124106727213166,	0.25199135576411424,	0.31976265064081466,	400
63115200.0,	29.212827960748466,	2.6224899177538314,	0.015063498084857008,	0.06775183556271777,	0.2872199871046867,	0.3691077151418996,	400
78894000.0,	29.212827960748466,	2.6224899177538314,	0.015123601868818356,	0.07546112297881247,	0.3217777471428332,	0.4236287618874492,	400
94672800.0,	29.212827960748466,	2.6224899177538314,	0.015258405200256142,	0.08406866396198406,	0.3550333900314595,	0.4804535178918285,	400
110451600.0,	29.212827960748466,	2.6224899177538314,	0.01556439939600536,	0.09307377852389598,	0.38616502013410486,	0.5366233053918619,	400
126230400.0,	29.212827960748466,	2.6224899177538314,	0.016169854401994747,	0.10164199747973118,	0.41341785477417736,	0.588465016584765,	400
142009200.0,	29.212827960748466,	2.6224899177538314,	0.017071843385090508,	0.10911992214942362,	0.4361454279024778,	0.6335513605897158,	400
157788000.0,	29.212827960748466,	2.6224899177538314,	0.01810904609648223,	0.11552598010333767,	0.45576729096850455,	0.6729022737845555,	400
173566800.0,	29.212827960748466,	2.6224899177538314,	0.01919872001189353,	0.12132484753017403,	0.4749162945201459,	0.7094853654566038,	400
189345600.0,	29.212827960748466,	2.6224899177538314,	0.020261219812036123,	0.1264250145304429,	0.49242801639908385,	0.7429787369551476,	400
205124400.0,	29.212827960748466,	2.6224899177538314,	0.021278875788796968,	0.13096611822804205,	0.5087172165524245,	0.7739903311552114,	400
220903200.0,	29.212827960748466,	2.6224899177538314,	0.022191680957824693,	0.13478389361423326,	0.5223757864180117,	0.8012225970415704,	400
236682000.0,	29.212827960748466,	2.6224899177538314,	0.022957025902129034,	0.13781636248450466,	0.5328908971466936,	0.8237788503704875,	400
252460800.0,	29.212827960748466,	2.6224899177538314,	0.023670931408733765,	0.14055436532820942,	0.542783704756832,	0.8446730779979476,	400
268239600.0,	29.212827960748466,	2.6224899177538314,	0.024314660767517253,	0.14294614015452428,	0.551588794025212,	0.863390566916449,	400
284018400.0,	29.212827960748466,	2.6224899177538314,	0.024890534800255142,	0.14516655219028543,	0.5619426769462971,	0.8800436253661724,	400
299797200.0,	29.212827960748466,	2.6224899177538314,	0.025326792430672273,	0.14677679921998846,	0.5689094208088293,	0.8925258525778581,	400
315576000.0,	29.212827960748466,	2.6224899177538314,	0.025764377712092463,	0.14836825142067023,	0.5760250378418423,	0.9049765852946348,	400
331354800.0,	29.212827960748466,	2.6224899177538314,	0.02614321898151009,	0.14970971288682308,	0.581854415096341,	0.9156983953776178,	400
347133600.0,	29.212827960748466,	2.6224899177538314,	0.026445059235601052,	0.15075317496485993,	0.5862125624486646,	0.9242111934585789,	400
362912400.0,	29.212827960748466,	2.6224899177538314,	0.026540633757892364,	0.1510747148222813,	0.5874031291400253,	0.9269030385676506,	400
378691200.0,	29.212827960748466,	2.6224899177538314,	0.026636122557923372,	0.1513951498511613,	0.5886015553257283,	0.9295916598211832,	400
394470000.0,	29.212827960748466,	2.6224899177538314,	0.026757071091147062,	0.15180081662204317,	0.5901617615961181,	0.9329955792062479,	400
