time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
2287926000.0,	23.28757465631589,	14.655204161633595,	0.015,	0.05,	0.2,	0.2,	400
2303704800.0,	23.28757465631589,	14.655204161633595,	0.015000311418351212,	0.05009801839578228,	0.20006668010542386,	0.20157830094017415,	400
2319483600.0,	23.28757465631589,	14.655204161633595,	0.015000995764797439,	0.05031236694204208,	0.2002264667860627,	0.2050029125815623,	400
2335262400.0,	23.28757465631589,	14.655204161633595,	0.015001974571730763,	0.05061418058653597,	0.20047339301799785,	0.20976774648012558,	400
2351041200.0,	23.28757465631589,	14.655204161633595,	0.015003151519939301,	0.05096839943795751,	0.2007890474763079,	0.21528024826378148,	400
2366820000.0,	23.28757465631589,	14.655204161633595,	0.015004314752227547,	0.05130770482997284,	0.20110759769062084,	0.22048892799738812,	400
2382598800.0,	23.28757465631589,	14.655204161633595,	0.01500612274432595,	0.05182368713366833,	0.20167715223137284,	0.22824497619870673,	400
2398377600.0,	23.28757465631589,	14.655204161633595,	0.015008482209871199,	0.052472206923248874,	0.2025151108003895,	0.23773480324891508,	400
2414156400.0,	23.28757465631589,	14.655204161633595,	0.015011642263331607,	0.05330300179492311,	0.20381907562216603,	0.24946633954865907,	400
2429935200.0,	23.28757465631589,	14.655204161633595,	0.015015613857236593,	0.054287433516166224,	0.20568119574102178,	0.26279346817513344,	400
2445714000.0,	23.28757465631589,	14.655204161633595,	0.015020869679993974,	0.05551109914055507,	0.20857252664971626,	0.2784676421395777,	400
2461492800.0,	23.28757465631589,	14.655204161633595,	0.015029400860267569,	0.057430973736432474,	0.21527495098595617,	0.3005065204295595,	400
2477271600.0,	23.28757465631589,	14.655204161633595,	0.015040429900206856,	0.05962011137912439,	0.22408777833369864,	0.3235434229838075,	400
2493050400.0,	23.28757465631589,	14.655204161633595,	0.015057112317250043,	0.062633637638504,	0.23947085894216324,	0.3509888058717826,	400
2508829200.0,	23.28757465631589,	14.655204161633595,	0.015080751399853666,	0.0659555182656861,	0.25551183528328103,	0.37945357955591524,	400
2524608000.0,	23.28757465631589,	14.655204161633595,	0.01511400104658892,	0.06936414822454175,	0.27028525443400214,	0.4076144767428611,	400
2540386800.0,	23.28757465631589,	14.655204161633595,	0.015161747641813338,	0.07290548176349512,	0.28470634891805374,	0.4355778577620316,	400
2556165600.0,	23.28757465631589,	14.655204161633595,	0.015230380586619473,	0.07652817173839072,	0.2986317908262631,	0.46303970000620653,	400
2571944400.0,	23.28757465631589,	14.655204161633595,	0.015325079461053227,	0.08004297770302145,	0.3111470690962291,	0.4889499625692906,	400
2587723200.0,	23.28757465631589,	14.655204161633595,	0.015446786686183303,	0.08327424125403501,	0.3217562483174491,	0.5123334521900859,	400
2603502000.0,	23.28757465631589,	14.655204161633595,	0.015597030768308293,	0.08627459946560571,	0.33119076548226994,	0.533605465790019,	400
2619280800.0,	23.28757465631589,	14.655204161633595,	0.015793683185315974,	0.08940914140335456,	0.34144596915732933,	0.5550650522941696,	400
2635059600.0,	23.28757465631589,	14.655204161633595,	0.0160058976579989,	0.09206798804708144,	0.3495143865643911,	0.5732151780410711,	400
2650838400.0,	23.28757465631589,	14.655204161633595,	0.016248618148368518,	0.09464415913483588,	0.3574528347007343,	0.5905261436621279,	400
2666617200.0,	23.28757465631589,	14.655204161633595,	0.016537053578029353,	0.09731942265890468,	0.36613008310653283,	0.6081635976548913,	400
2682396000.0,	23.28757465631589,	14.655204161633595,	0.016835238466043272,	0.09973041500699505,	0.37381010692023875,	0.624049385187227,	400
2698174800.0,	23.28757465631589,	14.655204161633595,	0.017108501680185354,	0.10170249398325582,	0.37979911194916677,	0.6371619110676402,	400
2713953600.0,	23.28757465631589,	14.655204161633595,	0.017339289578798708,	0.10351833987926225,	0.3883560141237922,	0.6474675629593852,	400
2729732400.0,	23.28757465631589,	14.655204161633595,	0.017574255594183175,	0.10523785256872528,	0.3961756463088857,	0.6573297906743194,	400
2745511200.0,	23.28757465631589,	14.655204161633595,	0.017818440996353012,	0.10687382151185977,	0.40297944529065294,	0.6670654189777399,	400
2761290000.0,	23.28757465631589,	14.655204161633595,	0.01805669656590688,	0.10839024536569547,	0.4091721312246022,	0.6761737084759961,	400
2777068800.0,	23.28757465631589,	14.655204161633595,	0.018236194025171237,	0.10946834303873533,	0.413258999189143,	0.6828057812614672,	400
2792847600.0,	23.28757465631589,	14.655204161633595,	0.018422869479546255,	0.11056408116309999,	0.4174736199602368,	0.6895592637749317,	400
2808626400.0,	23.28757465631589,	14.655204161633595,	0.018582759602131172,	0.11147404716680964,	0.42089011648890323,	0.6952304308191004,	400
2824405200.0,	23.28757465631589,	14.655204161633595,	0.018819960997331853,	0.1128258540577734,	0.4264684546726648,	0.7035155587390066,	400
2840184000.0,	23.28757465631589,	14.655204161633595,	0.018968978591465728,	0.11375150772166101,	0.43130081099314665,	0.7086082520304018,	400
2855962800.0,	23.28757465631589,	14.655204161633595,	0.01918740096993926,	0.11511832554811742,	0.4389102802160601,	0.7159469289305589,	400
